Repo_Name,DTA_Standard,DTA_Linear,DTA_NoWeight,DTA_Log,DTA_Tanh,CHAOSS_Review_Intensity,CHAOSS_Issue_Density,GT_Intensity_Mean,GT_Trend_Slope,GT_Stability_InvCV,Base_HAA,Base_RM,Base_LTE
ImHex,97.81460056003517,77.26855699513646,97.31464385986328,16.54860084602833,99.96834514907347,0.4277061299131035,0.9335742651780029,3.15644815865097,-0.027992552987060448,2.7404278676816487,2.624668616469088,3.4924268684708384,5.82487321543106
airflow,96.79758306309226,69.75138243302558,95.66303491592407,15.766104161381723,99.93549992917094,0.840759488016906,0.5186758948051667,3.512250403910575,-0.009628788746272748,5.432822883345964,3.7966010114788507,3.586222468012501,3.424584815362587
TDengine,96.35935205822864,74.10048279114902,94.87069845199585,16.097349007737634,99.86510081960338,0.7422314734273137,0.8669474010232293,3.4802539935932404,-0.012187638962209854,4.443925667558889,3.9953758312371734,4.238547097337433,4.515994495589203
node,96.1601359964098,66.84529376009837,95.94322443008423,15.430151457977296,99.908950613529,0.7035330993395041,1.5746594568184455,4.266477410864384,0.00012114577083185027,7.8948537964052985,3.943152634072149,4.7182822054747655,6.024404461212085
localstack,95.870200440369,74.0048513992902,95.658278465271,16.047817111718654,99.77702946632682,0.9745403579684586,1.4770444032779244,4.378695587518015,-0.008783957182367765,5.910731444559628,4.16891398677356,3.798986673819169,3.0763182436837324
gitea,95.30245791281135,63.37973042637246,95.90034484863281,15.018853571355342,99.86820187333755,1.0321707097948487,0.7642624169495953,3.926872028561505,-0.007799731680027569,5.442883729234091,3.72577868830535,3.9965662783417137,4.6722785739351345
grpc,95.07703296049559,61.68974473720168,94.96568441390991,14.838949168801307,99.86631425583538,0.7703863167246019,1.3363959280458813,4.11643854489552,0.006310399643181318,7.494843389575701,3.9194537250828447,3.6011276922559774,3.1253303994178525
PaddleOCR,92.36098324450286,54.87053431665282,91.0348892211914,13.940631311416626,99.59592666685573,0.5308894650369964,0.920286845054367,3.623612645124463,0.009384589528561008,5.031048605904602,3.2664691504340437,2.8922085420822774,2.1993566817533434
next.js,92.11262128065125,56.47757662568862,87.22724914550781,14.089224811303616,99.17899431250778,0.850894880632903,0.43604880864042533,3.1414035156820055,0.013964196440050244,5.712162457071109,2.9421706356283,3.0569907029210133,3.404185006755408
openpilot,91.8044610749799,55.40887450377081,90.16036987304688,13.951064639306068,99.44263171765434,0.8884846861863556,2.2107316877319123,3.6317800384282095,0.0036046979272431946,4.4901004639081705,3.429168846816391,3.358402409403412,2.891424615567856
ionic-framework,91.73055403063476,52.70529703033983,91.65328741073608,13.669221717107296,99.61184675849192,1.083602710565256,1.0762736722194566,3.621577889587411,-0.0030813257046259914,5.110710983031451,3.2649877056095122,3.144128356282662,3.1148422946229717
mongoose,91.01914101966561,52.73562227944508,90.89415073394775,13.620710257983209,99.412998745227,0.7440785816608848,1.3084628868165573,3.3986348063161187,-0.011137763565083702,4.159422016510324,3.208230494465751,3.2287668000423086,3.9656333765504628
fastify,90.60542714576908,55.36309669909314,82.8420639038086,13.85836294682026,98.4881334366221,0.8507690832310881,0.3307499334209274,2.7116305888900105,0.004289547984780236,4.15122217562223,3.3503753398329112,2.7775667992870345,3.0386556189093277
acme.sh,90.41716370720565,54.968055563735405,84.21952724456787,13.810981387507915,98.1279620529588,0.5152274441444461,2.309867392874928,2.9165377985608,-0.010120172983737472,2.9690716023446933,2.6660376371330403,2.904989886580343,2.8704497312315387
pytorch,89.57347400104047,63.10246906904623,89.66236114501953,14.549882760739326,97.47639995158248,3.204605893541305,1.107663595455833,3.968587351619768,0.006649217405036692,5.1668078108903295,3.877498665684994,3.714087472504974,3.6520657291358765
ansible,89.0029788111714,48.30313442519651,88.98217678070068,13.01211627163887,99.24425811652858,0.8160493935317612,1.2076679078652381,3.516498150720229,-0.0005036247259711354,5.803392556091828,2.8091996295306,2.7434420092859253,2.3552087481349977
protobuf,88.94893525726172,51.136236167459046,89.97776508331299,13.295562053370475,99.03400423170574,0.8976519847744662,0.9887504799414368,3.887732270569955,0.005828458932549692,7.1443660669584785,3.288027581614455,3.1007303356416376,2.0700948404646935
angular,88.76877789070802,47.292382930158965,87.74963617324829,12.889695569705964,99.26617280613695,1.1965103442791631,0.7512605200995224,2.5886102638036337,-0.010330854244916325,5.867973489167655,3.259232520599063,3.0343908553737395,2.297509725344395
pi-hole,88.69113514830264,49.59039384333688,89.40088748931885,13.12576313215494,98.95364184850392,0.7858696576848315,0.9738766136626239,2.8088842463357797,-0.012595640698421506,3.3676768634052103,2.5301256984563256,3.7595916223718957,5.31870760190877
type-challenges,86.34518768077784,57.741965833056774,75.41091442108154,13.629942355906124,92.0169144809301,1.4606292159964729,0.6979520686041356,2.7798907881164348,0.004651185261443264,2.487824101534528,3.095248008762274,2.94782587995513,2.8608859404801636
hutool,84.90748145271819,48.96436595506179,78.35876941680908,12.769315502870082,95.90709433441081,0.43298665691654775,0.7503630043369534,2.5076129355067884,-0.005213137781131303,2.2920487898016937,2.555991372821,3.130180019288514,4.074524173893866
