Repo_Name,DTA_Standard,DTA_Linear,DTA_NoWeight,DTA_Log,DTA_Tanh,CHAOSS_Review_Intensity,CHAOSS_Issue_Density,GT_Intensity_Mean,GT_Trend_Slope,GT_Stability_InvCV,Base_HAA,Base_RM,Base_LTE
penpot,84.53078803636662,44.05116132572643,83.24826955795288,12.256054161560535,97.81387290867903,0.8101170415166431,1.0527529392288686,3.480629068039474,0.008562395466854255,3.7297726632507806,2.5825553644637886,2.1082163112047185,1.7957401132860444
mmdetection,81.83800720462202,40.71546810440046,81.12283945083618,11.713739943397044,97.42488319800843,1.3275493385009811,1.1007901403812927,3.0460892509543602,0.006953952088855521,5.276906885219979,2.275280734856438,1.9213212841682341,0.8819624145125463
fabric.js,80.61409384162582,38.599534804304426,81.65371417999268,11.405398144829274,97.3455976621351,0.9411512590892241,1.1933828198678462,3.8557264022092066,0.014008241846202293,4.386517453863251,2.006937900057232,1.9732079620730083,2.2198814012152797
spaCy,79.78432540094187,44.24300241931295,80.16668558120728,11.917276540625094,92.27254170023042,1.1786257132935654,2.6517478111803605,2.6057132970708596,-0.0078263705463768,3.502753242206142,2.6539118716009527,2.677458651199788,3.1312895170895674
monaco-editor,79.6898144821814,37.280528364009584,75.53011178970337,11.200426039546727,96.94453308101951,0.7019934637171975,0.7253550297937057,2.353216852911447,-0.014933725441922927,1.8479376953099491,1.4220688019893497,2.0729168368040494,2.835495870335527
terminus,77.58986915822516,42.32612015498985,67.80803203582764,11.483505908485503,89.68869868611723,0.00014110522148902136,0.9874703375735913,1.520848519077731,0.0012275822221348635,1.9401550048883602,1.9223782424454219,1.7340033172217237,1.1255197259923517
libuv,77.51963076274173,38.09088528220277,68.65406036376953,11.128450077432394,94.72398304071409,1.1731468458400411,0.6542163137677729,1.8533015116068172,0.007707287560212217,2.7299071481372197,1.8344180912352772,2.2125612644930714,2.320724495850854
pipenv,77.28214793070958,36.37431638018406,74.61662292480469,10.941699937158823,96.03164884134534,0.9757106131939708,1.023200186401271,3.936838245084274,-0.01683550656579503,3.8505489360922147,1.9092848216083607,2.5384355496182156,3.473687533344191
meilisearch,77.08873109749807,35.364211949416166,76.76090002059937,10.818432322865725,95.8282962045041,0.8179638023826922,1.9966515436748966,2.733485545982156,0.03746385787496331,2.295039165424292,2.3705931871451287,1.8486350256769424,1.7430882242252543
appwrite,75.22135715724598,35.182165680202715,68.7495231628418,10.656563938224316,93.43498803388435,1.093863398056678,0.9263230546257699,3.0553141374855386,0.02496691684180988,1.951211465678133,2.086029451884591,1.949694076560285,2.0928051135968024
clash,75.0829007360847,37.822629533731714,76.46505832672119,10.897962369924784,90.88818783892138,1.2735462920331695,0.774665515472251,1.8474598024281201,-0.008809289656798773,1.7730313854798034,2.222345644838732,2.6300774657344896,2.3613591372170695
svelte,75.06248148931195,35.91436915833091,76.53398513793945,10.739963015699386,94.55574988897591,1.2303787356757563,0.5785689614455336,2.236898893668042,-0.00936117428668855,4.488846740907283,1.904797831473087,2.380006776500392,2.885464929663819
freqtrade,74.78542585903386,34.05399281363505,69.51744556427002,10.477360235854983,92.84125891371723,0.8927242607204308,1.4288685414594948,3.574483683312651,0.005809311339910609,4.152439841668626,2.132292085836046,2.018617474868626,1.082783611595433
awesome-go,74.70239558207186,38.29290685368363,71.8088150024414,10.945661341571807,93.44883737745066,0.11455950270144252,0.7368584239386494,2.523636477300348,0.005938041760064529,1.8945692722714493,2.2553562607864763,1.8362860782715646,1.5855019083929793
selenium,73.42560023562712,32.35273299855186,72.831130027771,10.243112081450224,94.36871233675322,0.5021034385626918,1.4118392889538716,2.6727457654973055,0.03209106227126605,2.687996419972058,3.143623547722662,2.330415818828859,0.9402294326605481
curl,72.44322002518095,41.3037031002889,71.88389301300049,10.805281087873876,79.53062320485498,14.150949984771442,1.269298711204727,3.3927090754012483,0.00681176794663523,2.2190124669426337,2.298770183942798,2.5347357973181834,2.605045619657002
autocomplete,71.61080198096,34.031073608188436,71.04190587997437,10.23242877328992,88.4856260029,0.7261920384183514,1.8466476754817482,3.1428660780130953,0.011237684439228986,3.6945460424947734,2.2895776930057123,2.129898961218534,1.8748087139665386
vue-next,69.95710787677002,33.36448119886871,72.0284104347229,10.100780585855246,90.67686413590806,2.290902474222248,0.8969929419069771,2.1289082132100896,0.017386668817262307,2.4923413146686486,2.1836859541039684,1.605777421145512,-0.024263299910940627
create-react-app,69.89288895804069,37.03595004120391,60.86387634277344,10.425874217113853,86.3800166561154,0.3582450509964212,0.9873382003141195,0.9720245964850456,-0.004602020917821899,1.6960336103573057,1.8304595069182408,1.3297207015155947,0.2583390196376243
awesome-python,69.56992723218288,44.292379424350635,58.788132667541504,10.908356165295839,76.68429310071453,2.293108032496245,0.6195378833468833,1.7251037355337975,0.0033398392773400522,1.3862870598869084,1.9414261289194752,2.151210223468542,2.720799873306592
slate,69.15426881732942,29.738306982201745,58.46976041793823,9.615476397949458,90.076773487563,0.18563116914133831,0.7032530190753092,1.452127311537029,0.002499664379222404,2.881564318992625,1.3786651341568523,1.4099804250890962,0.9919840398166088
hexo,67.8698615848295,29.56833208506524,58.937811851501465,9.468476398830116,88.03976489467014,0.016730463415903528,0.8777822632679666,1.8509374401457173,0.003924958805462457,1.7188234218252632,1.5178723817140314,0.7910003909009341,0.0871953838693271
sharp,67.62262231272324,31.507510662974187,71.61258459091187,9.75042912169695,89.87799972185167,1.9993286854230559,0.7009522112892858,2.0889585296188042,-0.021388524402373005,2.0052908454504594,2.0757168615971273,2.378304223628065,3.065287249700697
pandas,66.15744940170785,26.996186555055722,61.531853675842285,9.17687776709795,91.22459876858173,0.6020502162322426,0.8870515652595231,2.7931233097755417,0.015429150401070232,5.65989745004243,1.6800230214622875,1.7931886906182484,2.2909940850554826
react-hook-form,66.08296799330677,26.647118486888704,65.68336486816406,9.139472231578827,91.68994012311855,0.4957137491059448,1.0808098548511924,1.2543415409675656,-0.002393354938120986,2.7399214843200954,1.416662197987365,1.5643041051239543,1.7042545119589299
meteor,65.2741435431999,30.43068852768008,61.272239685058594,9.350040481060743,83.06038476906053,8.447136759984469,1.4973883222991087,2.2581321419794307,0.011276495804118046,2.3563100866134867,1.1035706836954606,1.2502369702375342,0.7867484862778301
CppCoreGuidelines,63.66177118597977,25.885551046779366,60.541534423828125,8.87838134188652,89.08549308309621,0.044543112749108396,0.7611097503755531,1.5095442922885944,-0.026405892512225238,1.524968365775589,1.4000754371006405,2.1081600992673653,3.2640971502090763
Sentinel,62.54134884032915,28.661723827771336,58.198678493499756,8.899447494924068,79.11593056617193,3.3954062574515493,1.2305213541367264,2.0118246327888847,-0.003678951748031707,2.764053689917799,1.536580352903328,1.7272568565271615,1.8736595667301017
jest,62.43691122701388,27.52069692211557,51.790404319763184,8.892614752162993,84.53188962205826,0.7926264361012246,0.49066164629223064,2.71218348841355,0.014540772886814024,3.6612298105131416,1.6107211814674893,1.4070279011152467,0.5118914532365925
requests,57.989890228313726,23.016328447786247,52.72872447967529,8.130066603156925,83.81612585422661,0.22021881659296633,0.4168667298349669,0.8320284280836048,0.0016567669491257462,1.5558137754993104,1.6052282979543222,1.3880326676074308,1.5344912383853189
webtorrent,57.14767108402764,22.365714727456638,50.68793296813965,7.986075222148002,83.06088651378339,0.17723167392462785,0.7486114572437664,1.1338351430380678,-0.0005748056435847234,1.39717950500524,1.3311041881913708,0.8981945225738858,0.4083362137158761
preact,56.28583556079876,22.000567649717485,56.8462610244751,7.903411537602544,82.4785801846838,1.144702389274759,0.9183672154525907,1.9853090976267702,-0.008567622972056972,3.8127451752965955,1.4079944953507806,1.7867443450884337,2.911214754719209
tornado,54.54505383309753,21.850358080925837,56.79624080657959,7.695677123147249,78.27192872914283,1.0021131722146621,1.543199713470786,1.0767657607951155,-0.0028524724277389714,1.5565282844937942,1.9809832416899915,1.5868917784733665,2.4870478790457105
scrcpy,54.15342541215258,22.72842108228019,57.00945854187012,7.595398737701029,73.91114642416679,5.432396027798755,1.1787445043435625,1.1790181050899895,-0.006374488318060627,1.7444740017941842,1.3819451335529767,1.3852247730957277,1.1806619815500656
examples,52.91495419871256,23.05499685957971,45.889830589294434,7.618075615021587,72.23400703993225,0.3912988464755624,2.152348854228673,2.4120867570117728,8.364149029799831e-05,2.5542743858850048,1.4353785589567651,1.6978322249011004,1.7149513998247188
alacritty,52.88941728031398,20.518814865037626,60.35029888153076,7.533395980721712,80.82165826424712,1.289226604568234,1.2713496029556743,1.9347361895892325,0.006035041768348879,3.2438456075822586,2.1778235501040584,2.5701946550645105,3.3489311366554246
firecracker,52.32239086604202,21.12861713483061,46.653783321380615,7.401325061774253,74.59033682892063,0.9830498262369181,2.5463013153890044,2.0881555243136343,0.024043003194304816,2.34581601227874,1.283123807249514,1.2523734871501528,1.289209653999594
jekyll,48.867216590585834,19.881450206368932,45.77864408493042,6.952890019337833,70.26600997815939,3.7246852026391855,0.719164856131048,1.5220809088757836,0.018923553633084865,1.4009845921863686,1.010245139952963,0.7429564997821926,0.31014214614641034
lazydocker,48.67924311856624,17.960506705051156,42.39853620529175,6.925996906086802,77.11671691275899,1.2168896119606207,2.899634265501303,1.131305990373772,0.040153808356916836,0.7025908663955573,0.9985326479799767,0.379177612157614,-1.3720641710291983
joplin,45.15584300468311,18.586167763114492,53.35131883621216,6.611157843112946,67.10576339745322,3.354547784729343,0.7043547379025168,1.953663710839808,-0.004202927007760134,3.2281576399522462,1.4449469826674193,1.7650969965144216,2.405507660958937
marktext,44.05554179261397,20.858411931114006,44.253575801849365,6.613961037040502,61.359595046774196,0.008124598110930074,0.5569362616155655,0.7941506880955717,-0.007734514971921046,1.1553367919273532,0.8633666193957487,0.9079711667465256,0.9951862702611283
architecture-samples,42.10319915098348,15.522248356714574,36.43542528152466,6.0633792325899005,67.280798721584,0.20343072685581856,0.3994462268935936,0.6185357104813567,-0.00019483824028492745,1.153246288829979,1.4370631860126666,0.535650301513551,-0.9171913268234926
RxJava,41.36936860471641,15.261250093961465,37.51646280288696,5.98860834468007,66.86446409035567,0.10719694891475365,0.7826106463958027,0.683774961162168,-0.002256190643398015,1.658000293970839,0.854827951256514,0.7115810285717697,0.3768661737371076
developer-roadmap,41.33428986248103,15.007632814485369,38.591575622558594,6.041540088272095,68.62707788541978,0.8687609284400912,0.789361967000686,3.1268207470733778,0.03842260673879721,2.0038823850139305,0.28003551982725927,0.33280616749250996,0.5104379383538903
tldr,39.71759435761012,15.280360364089262,40.80108404159546,5.859018686583639,63.041135167534264,1.0106937595274812,0.7380795475204296,2.5912604605288996,0.045210155824187345,1.438010328526776,0.7305566786437626,1.045355394815046,1.7366624799804817
shellcheck,36.25902571854318,15.013921874869105,40.07837772369385,5.313015617868118,53.14537476454964,0.1043353849560547,1.0093028455256197,1.3201702065970473,0.00024816731492198973,1.271041805677666,1.135163998977348,1.4127894386929516,1.5634217681520672
uni-app,35.59612250753546,21.396687802605953,45.11750936508179,5.6469040342125805,43.5903372381104,1.1682948232041938e-14,0.9261119127812697,1.5956324245016393,0.0015547175257730073,2.3512801725172547,1.729786438151165,1.7726702971606096,1.691017643245445
foundation-sites,34.801404018027924,12.618146837922154,28.462350368499756,5.13650989587158,58.119258441703025,8.4526949540028e-17,0.1836783564547867,0.36933325298995295,-0.0014833425812098666,1.2312952663148147,0.5411259597219891,0.6202535368949331,0.8085743602616372
carbon,32.67165351826352,11.50599215960363,31.529557704925537,4.878609041147865,57.03356543903059,0.03499443744287421,3.141412629814038,0.4702147315247431,0.0014234199219285515,1.1765595211653672,1.0358873887272704,0.6175952833252144,-0.36183769302311763
standard,31.49992568249931,10.994924172874079,29.107141494750977,4.7646098297387365,55.992242739490564,0.735031699750146,0.7547677862183743,0.7742547425010542,0.0033226904575181146,1.0325819091300823,0.5950585265281185,0.6837432016850924,0.9042010372628967
gold-miner,31.289325848918303,10.81607675209585,32.08789825439453,4.7821981172472245,56.74622390371559,1.0211569935789566,0.5105167233945817,0.4749631057568627,-0.0008380514330016495,1.8005678142222732,0.4730874952126657,0.4205530845667792,0.34236542067777564
thefuck,30.79376396673891,11.072472288843999,32.41074085235596,4.569472633396834,52.06357195699394,6.1688335077218515,1.2336558068946817,0.5601499360202241,0.0033373374053964665,1.2685026517026607,1.2679809884147633,0.7714733074150883,0.12500711426855354
Sortable,30.25603424763158,11.137635364403717,29.985809326171875,4.419890026607457,49.19520716885817,0.0008951391736105733,0.6338043786036421,1.2071797953880148,0.0005559680955143926,1.0988500013294407,0.5565007380536837,0.6965828380014211,0.685888627232323
Kingfisher,30.08407171860214,10.939334139993536,26.894140243530273,4.507083667164389,50.51821802343056,0.0029821339538792947,0.7275326535487675,0.6574614916583428,-0.00025703176619315754,1.5395133985638816,0.814491016209029,0.8460251974803417,1.1823537068980117
learnGitBranching,28.79943661060882,9.960719812899066,25.867605209350586,4.413366137298197,52.22306201810814,0.14254467849720373,0.610378879559389,0.908994772251884,-0.003296805937947465,1.5890081577789985,0.5642549886891017,0.5249355172756862,0.35385894071066637
koa,28.699616180897575,10.069808087511714,33.45292806625366,4.392507721298933,51.04486676492892,2.7699479653415167,10.070922542992031,0.8525018930434025,0.012570823131127503,1.3268478171114393,0.7815446203589327,0.9921412399151573,1.4360605492311798
RedisDesktopManager,27.79495219509719,12.11200151018541,32.42400884628296,4.08584032798392,38.27556219372673,6.174401165768932e-16,0.5915246825383348,0.5034172465869605,-0.007914935143216898,1.532321288183716,0.7977351568241383,0.5737849595786462,0.008539374652273574
Python,27.586936256667126,10.340189914273175,26.76236629486084,4.099003188800811,44.269578785365304,1.3587439618783397,0.6419491866992143,1.7404669755734683,0.05808801014113115,0.8335273531052521,0.5351972325599158,0.5687055393672171,0.4369672245444153
zx,27.460527655524906,9.556895195760596,32.212162017822266,4.255700788751245,49.707299518370476,2.032298315608113,0.7408819192534841,0.5755096627573562,-0.00394489349148075,1.62955062670697,1.3024292141655944,0.6900660770672238,-0.7702772978747537
realworld,26.46852798956586,9.311493698607581,24.36164617538452,3.9964692122355103,46.28148023641009,0.011523586979441038,4.290695265966748,0.5622805557850707,0.005107495909207873,1.046465418343466,0.6126655038722049,0.42384625609293536,-0.3525998294467409
LeetCode-Go,23.92339314814183,8.203512571324776,20.80479860305786,3.749244460129365,44.30451062198627,3.607474056984935e-08,2.2109461404511914,0.3580657499545506,0.00039035340577884636,1.061285514369292,0.3909820753498352,0.5064560583077656,0.5509691080570776
CPlusPlusThings,22.83951888111055,8.170431306604376,25.662553310394287,3.453542644330673,38.99878976044983,0.11250503653953396,10.890011171571361,0.5020652679131803,-0.0057151759585307325,0.9207009713228452,0.4904245292078129,0.2608790392540859,-0.02839341987975344
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,20.89197595550526,7.33493796718669,21.01186513900757,3.1838477871736512,36.78058918293985,0.405207771523225,3.819071790459715,0.810698571368383,0.00925394895384882,0.7240086813896222,0.24950942770393952,0.6169213678521056,1.0510659430971898
public-apis,19.76052141702043,6.785982687401279,13.381457328796387,3.0697958233420737,36.41504877617205,0.2871912915362493,0.19124727698998864,0.43181184834953107,0.0021898752694917154,1.2071338030195236,0.535904205934653,0.45510013807586763,0.3284159241969236
javascript-testing-best-practices,19.069913937049108,6.67074631801738,15.598273277282715,2.9335509464740652,33.94823216785824,0.0,0.153014588439792,0.3811668948057325,-0.004213561363179733,1.4273941260759215,0.21660753863307652,0.12444029061777724,-0.25071075222057376
You-Dont-Know-JS,18.43035496643654,6.266914467610561,20.079290866851807,2.94870543689169,34.853993578787296,0.010169700849188746,2.9186934715120754,0.946940394373953,0.005998945696594145,1.1050022502023706,0.42275071063338515,0.39474649331977246,0.5006031053537467
ink,17.743456189832138,6.065804136849659,20.117783546447754,2.878353169422224,33.38781040820372,1.0936865290530788e-09,29.91530168101356,0.5466267753273696,-0.0022515230190757636,1.2983190531236897,0.3463888574994694,0.3638498167281062,0.4872098693245519
30-seconds-of-code,15.66295139471364,5.290621025833002,14.845991134643555,2.586944223345816,30.1640886928968,3.5380360985918258,0.8862526422345893,0.0005381405297614664,-3.7566767695377035e-05,0.7059975612712025,0.18410195472852414,0.010353871896502729,-0.5109650384445041
hub,15.125038443452516,5.223526875970956,22.403037548065186,2.4018816784627735,27.732591998646463,23.74718128023625,0.8554021900314499,0.46543821770401833,-0.0008539236435488347,1.096401636855172,0.521587138042636,0.37652650584615466,0.13685386223834342
leakcanary,14.96496608608414,5.187626356240039,20.1271653175354,2.366991833085567,27.17639285110654,0.04775874122384942,0.956721815276744,0.3850075325311346,-0.0040672990174596465,1.1444613299426034,0.6406356905995281,0.6411383767879488,0.14016575610652648
DeepSpeech,14.329041983687315,4.832633027860622,12.89975643157959,2.3749483499150723,27.70587019013819,3.4745722542635735e-05,0.7683240554815489,0.2059061195400437,-0.0024257690439338344,2.8826305747829153,0.191224255076496,0.22560536974420872,0.260433385224181
interview,11.779431932558944,4.223857629360009,10.484766960144043,1.7396547380506993,19.740703557812708,8.45690271689997e-06,0.9514587886945588,0.1613216866797542,-0.0005767479851454762,0.942827284131983,0.4312335270581378,0.12698245246199621,-0.5813533367165803
bitcoinbook,8.946746150964046,3.0035530880369437,6.28812313079834,1.5324431187216194,17.525775373823606,5.80774620519177e-13,1.0636377644418695,0.10435361837042981,-0.00016487276934417982,1.115200611185683,0.1019822384099945,0.11970126134464985,0.16370772894448926
architecture-components-samples,8.887469132290638,3.004459298950481,13.254189491271973,1.503114993058145,17.123615412809734,135935.83224901068,9.791954226158825,0.17964320232600828,-0.00016476368949761618,0.8253324980448555,0.24917057965872633,0.402463079793411,0.5688734699972623
gulp,7.715058187793636,3.1274093777387666,18.82072687149048,1.2025651123947463,11.928397679368224,0.04735863662262447,11.985348493124413,0.29452739725359667,-0.00039603410114372054,2.6841029130908947,0.5998205731940617,0.6851032477401191,1.2194540788800323
masscan,7.059744794608429,2.362919121550926,8.183896541595459,1.239304576102458,13.950172725872154,78079391327.33127,0.5743364320350739,0.3859989393306218,0.002348570604005826,1.305227573340187,0.2640050843556471,0.1277772200783893,-0.2599803935435548
bypass-paywalls-chrome,1.5220225442615567,0.5074838570556647,1.7804861068725586,0.2848337158376758,3.0414732364198103,1.442389754612831e-09,190.78237639712117,0.0031800375019711783,-0.00022197671950051896,0.8748975481715793,0.12179203940178635,0.018897722795771794,-0.3292883678859404
RxAndroid,1.3672096089913475,0.45600529692975555,1.5223264694213867,0.2527645957185421,2.729572314347895,0.047265719778503815,540.7005332126703,0.0765230559998577,0.0033189888404749255,1.3202471589588585,0.056287522957837226,0.002946904690779333,-0.16016879184426744
mostly-adequate-guide,0.8911092990742051,0.2974452544354311,2.078413963317871,0.163198530895944,1.7749651970983156,5.0722369765434705e-06,3.090612573383494,0.12512222237508053,-0.0020270977210070126,1.8623070753541247,0.0472244788636698,0.06301015464865836,0.0542027882136132
