Repo_Name,DTA_Standard,DTA_Linear,DTA_NoWeight,GT_Intensity_Mean,GT_Trend_Slope,GT_Stability_InvCV,Base_HAA,Base_RM,Base_LTE
ImHex,97.99250725390979,78.78941483449256,97.51094579696655,3.15644815865097,-0.027992552987060448,2.7404214875658415,2.624668616469088,3.4924268684708384,5.82487321543106
airflow,96.80850755177732,69.83372672838698,95.66692113876343,3.512250403910575,-0.009628788746272748,5.432795335527342,3.7966010114788507,3.586222468012501,3.424584815362587
TDengine,96.41144201628575,74.40611193583247,94.94292736053467,3.4802539935932404,-0.012187638962209854,4.443907337597552,3.9953758312371734,4.238547097337433,4.515994495589203
node,96.14059849402352,66.69843302027616,95.92306613922119,4.266477410864384,0.00012114577083185027,7.894793584241621,3.943152634072149,4.7182822054747655,6.024404461212085
localstack,95.86653549930739,73.80239372266118,95.64319849014282,4.378695587518015,-0.008783957182367765,5.910698035482536,4.16891398677356,3.798986673819169,3.0763182436837324
gitea,95.3455466569099,63.55778454183434,95.94027996063232,3.926872028561505,-0.007799731680027569,5.442855536228012,3.72577868830535,3.9965662783417137,4.6722785739351345
grpc,95.04911368261939,61.60127766492821,94.93646621704102,4.11643854489552,0.006310399643181318,7.494789208951044,3.9194537250828447,3.6011276922559774,3.1253303994178525
PaddleOCR,92.22942920548402,54.535812163835864,90.91144800186157,3.623612645124463,0.009384589528561008,5.031024951155104,3.2664691504340437,2.8922085420822774,2.1993566817533434
next.js,92.14908825539968,56.60494951096289,87.24333047866821,3.1414035156820055,0.013964196440050244,5.7121322781950505,2.9421706356283,3.0569907029210133,3.404185006755408
openpilot,91.76978097754585,55.35992044898486,90.10814428329468,3.6317800384282095,0.0036046979272431946,4.49008202502954,3.429168846816391,3.358402409403412,2.891424615567856
ionic-framework,91.72329631541365,52.702420462353615,91.6619062423706,3.621577889587411,-0.0030813257046259914,5.1106863455338765,3.2649877056095122,3.144128356282662,3.1148422946229717
mongoose,91.07613118335662,52.938966911704114,90.95475673675537,3.3986348063161187,-0.011137763565083702,4.159406058279267,3.208230494465751,3.2287668000423086,3.9656333765504628
fastify,90.61852767283789,55.38210287418024,82.86231756210327,2.7116305888900105,0.004289547984780236,4.151206708128167,3.3503753398329112,2.7775667992870345,3.0386556189093277
acme.sh,90.46531236013163,55.18359041736708,84.21638011932373,2.9165377985608,-0.010120172983737472,2.96906424720899,2.6660376371330403,2.904989886580343,2.8704497312315387
